numero_de_la_station;x_en_mm;y_en_mm;accessible_en_taxi;accessible_en_bus;accessible_en_metro
# Amine

# Thibault

# Thomas

# Laurent

# Yann K

# Thilio

# Noa

# Yann M

# Memeth

# Mathis

# Quentin

# Xavier

# Noah
181;118;228;166-180-182-193;166-180;;
182;128;229;181-183-195;;;
183;145;212;166-167-182-196;;;
184;173;224;168-169-185-196-197;168-169-185;168-185
185;220;239;184-186-170;170-184-198;184-198
186;222;235;159-185-198;;;
187;253;227;172-188-198;172-198;172-198
188;286;230;128-173-187-199;128-199;;
189;24;241;176-178-190;176-180;;
190;42;240;189-191-192;189-191-192;
191;61;232;178-179-190-192;179-190-192;
192;68;255;190-191-194;180-190;
193;111;236;180-181-194;180-194;
194;168;142;192-193-195;193-195;
195;133;141;182-194-197;184-196;
196;153;231;183–184–195–197;;
197;157;245;184–195–196;;
198;236;257;186–159–187–199;;  
199;290;257;171–188–198;128–161;
